SYMB_COMPANY_NAME, SM_KEY_SYMBOL, SM_NEW_SYMBOL, SM_APPLICABLE_FROM
Metalyst Forgings Limited,AHMEDFORGE,METALFORGE,01-JUN-2015
Metkore Alloys & Industries Limited,CRONIMET,METKORE,02-APR-2012
Metkore Alloys & Industries Limited,GMRFER,CRONIMET,02-JUN-2010
Micro Inks Limited,HINDINKS,MICRO,26-MAR-2004
Mirza International Limited,MIRZATAN,MIRZAINT,05-JUL-2006
Mohota Industries Limited,MOHOTAMILL,MOHOTAIND,26-DEC-2017
Mohota Industries Limited,RAIREKMOH,MOHOTAMILL,01-AUG-2017
Motilal Oswal Mutual Fund - Motilal Oswal 5 Year G Sec ETF - Growth,G5,MOGSEC,16-JUN-2021
Motilal Oswal Mutual Fund - Motilal Oswal MOSt Shares M100 ETF GO,M100,MOM100,16-JUN-2021
Motilal Oswal Mutual Fund - Motilal Oswal MOSt Shares M50 ETF,M50,MOM50,16-JUN-2021
Motilal Oswal Mutual Fund-Motilal Oswal MOSt Shares NASDAQ 100 ETF -GO,N100,MON100,16-JUN-2021
MphasiS Limited,MPHASISBFL,MPHASIS,26-DEC-2006
MphasiS Limited,BFLSOFTWAR,MPHASISBFL,15-JUN-2004
NACL Industries Limited,NAGAAGRI,NACLIND,29-SEP-2017
NCC Limited,NAGARCONST,NCC,15-MAR-2011
NIPPON INDIA ETF CONSUMPTION,RELCONS,NETFCONSUM,30-OCT-2019
NIPPON INDIA ETF DIVIDEND OPPORTUNITIES,RELDIVOPP,NETFDIVOPP,30-OCT-2019
NIPPON INDIA ETF LONG TERM GILT,RRSLGETF,NETFLTGILT,30-OCT-2019
NIPPON INDIA ETF NIFTY 100,RELCNX100,NETFNIF100,30-OCT-2019
NIPPON INDIA ETF NIFTY MIDCAP 150,RETFMID150,NETFMID150,30-OCT-2019
NIPPON INDIA ETF NV20,RELNV20,NETFNV20,30-OCT-2019
NIPPON INDIA MF - NIPPON INDIA Dual Adv FTF Sr III Pl A - DP-GO,RDAIIIADG,NDAIIIADG,30-OCT-2019
NIPPON INDIA MF - NIPPON INDIA Dual Adv FTF Sr III Pl A - DPO,RDAIIIARD,NDAIIIARD,30-OCT-2019
NIPPON INDIA MF - NIPPON INDIA Dual Adv FTF Sr III Pl A - GO,RDAIIIARG,NDAIIIARG,30-OCT-2019
NIPPON INDIA MF - NIPPON INDIA Dual Adv FTF Sr IX Pl D - DP-DPO,RDAIXDDD,NDAIXDDD,30-OCT-2019
NIPPON INDIA MF - NIPPON INDIA Dual Adv FTF Sr IX Pl D - DP-GO,RDAIXDDG,NDAIXDDG,30-OCT-2019
NIPPON INDIA MF - NIPPON INDIA Dual Adv FTF Sr IX Pl D - DPO,RDAIXDD,NDAIXDD,30-OCT-2019
NIPPON INDIA MF - NIPPON INDIA Dual Adv FTF Sr IX Pl D - GO,RDAIXDG,NDAIXDG,30-OCT-2019
NIPPON INDIA MF - NIPPON INDIA Dual Adv FTF Sr IX Pl E - DP-DPO,RDAIXEDDD,NDAIXEDDD,30-OCT-2019
NIPPON INDIA MF - NIPPON INDIA Dual Adv FTF Sr IX Pl E - DP-GO,RDAIXEDDG,NDAIXEDDG,30-OCT-2019
NIPPON INDIA MF - NIPPON INDIA Dual Adv FTF Sr IX Pl E - DPO,RDAIXEDD,NDAIXEDD,30-OCT-2019
NIPPON INDIA MF - NIPPON INDIA Dual Adv FTF Sr IX Pl E - GO,RDAIXEDG,NDAIXEDG,30-OCT-2019
NIPPON INDIA MF - NIPPON INDIA Dual Adv FTF Sr IX Pl F - DP-DPO,RDAIXFDDD,NDAIXFDDD,30-OCT-2019
NIPPON INDIA MF - NIPPON INDIA Dual Adv FTF Sr IX Pl F - DP-GO,RDAIXFDDG,NDAIXFDDG,30-OCT-2019
NIPPON INDIA MF - NIPPON INDIA Dual Adv FTF Sr IX Pl F - DPO,RDAIXFDD,NDAIXFDD,30-OCT-2019
NIPPON INDIA MF - NIPPON INDIA Dual Adv FTF Sr IX Pl F - GO,RDAIXFDG,NDAIXFDG,30-OCT-2019
NIPPON INDIA MF - NIPPON INDIA Dual Adv FTF Sr VII Pl C - DP-GO,RDAVIIPCDG,NDAVIIPCDG,30-OCT-2019
NIPPON INDIA MF - NIPPON INDIA Dual Adv FTF Sr VII Pl D - DP-DPO,RDAVIIPDDD,NDAVIIPDDD,30-OCT-2019
NIPPON INDIA MF - NIPPON INDIA Dual Adv FTF Sr VII Pl D - DP-GO,RDAVIIPDDG,NDAVIIPDDG,30-OCT-2019
NIPPON INDIA MF - NIPPON INDIA Dual Adv FTF Sr VII Pl D - DPO,RDAVIIPDD,NDAVIIPDD,30-OCT-2019
NIPPON INDIA MF - NIPPON INDIA Dual Adv FTF Sr VII Pl D - O,RDAVIIPDG,NDAVIIPDG,30-OCT-2019
NIPPON INDIA MF - NIPPON INDIA Dual Adv FTF Sr VIII Pl C - DP-DPO,RDAFVIIICX,NDAFVIIICX,30-OCT-2019
NIPPON INDIA MF - NIPPON INDIA Dual Adv FTF Sr VIII Pl C - DPO,RDAFVIIICD,NDAFVIIICD,30-OCT-2019
NIPPON INDIA MF - NIPPON INDIA Dual Adv FTF Sr X Pl A - DP-DPO,RDAXADDD,NDAXADDD,30-OCT-2019
NIPPON INDIA MF - NIPPON INDIA Dual Adv FTF Sr X Pl A - DP-GO,RDAXADDG,NDAXADDG,30-OCT-2019
NIPPON INDIA MF - NIPPON INDIA Dual Adv FTF Sr X Pl A - DPO,RDAXADD,NDAXADD,30-OCT-2019
NIPPON INDIA MF - NIPPON INDIA Dual Adv FTF Sr X Pl A - GO,RDAXADG,NDAXADG,30-OCT-2019
NIPPON INDIA MF - NIPPON INDIA Dual Adv FTF Sr X Pl D - DP-DPO,RDAXDDDD,NDAXDDDD,30-OCT-2019
NIPPON INDIA MF - NIPPON INDIA Dual Adv FTF Sr X Pl D - DP-GO,RDAXDDDG,NDAXDDDG,30-OCT-2019
NIPPON INDIA MF - NIPPON INDIA Dual Adv FTF Sr X Pl D - DPO,RDAXDDD,NDAXDDD,30-OCT-2019
NIPPON INDIA MF - NIPPON INDIA Dual Adv FTF Sr X Pl D - GO,RDAXDDG,NDAXDDG,30-OCT-2019
NIPPON INDIA MF - NIPPON INDIA Dual Adv FTF V - Pl C - DP-GO ,RDAFTVCDG,NDAFTVCDG,30-OCT-2019
NIPPON INDIA MF - NIPPON INDIA Dual Adv FTF V - Pl C - DPO,RDAFTFVCD,NDAFTFVCD,30-OCT-2019
NIPPON INDIA MF - NIPPON INDIA Dual Adv FTF V - Pl C - GO,RDAFTFVCG,NDAFTFVCG,30-OCT-2019
NIPPON INDIA MF - NIPPON INDIA Dual Advantage FTF XI Plan C - DP - DPO,RDAXICDDD,NDAXICDDD,30-OCT-2019
NIPPON INDIA MF - NIPPON INDIA Dual Advantage FTF XI Plan C - DP - GO,RDAXICDDG,NDAXICDDG,30-OCT-2019
NIPPON INDIA MF - NIPPON INDIA Dual Advantage FTF XI Plan C - DPO,RDAXICDD,NDAXICDD,30-OCT-2019
NIPPON INDIA MF - NIPPON INDIA Dual Advantage FTF XI Plan C - GO,RDAXICDG,NDAXICDG,30-OCT-2019
NIPPON INDIA MF - NIPPON INDIA IF - AIF S-I - IDR,RMFINAIDR1,NMFINAIDR1,30-OCT-2019
NIPPON INDIA MF - NIPPON INDIA Intr Fund - QIF SR I-DIV,RMFINQADP1,NMFINQADP1,30-OCT-2019
NIPPON INDIA MF - NIPPON INDIA Intr Fund - QIF SR I-GRW,RMFINQRAG1,NMFINQRAG1,30-OCT-2019
NIPPON INDIA MF - Nippon India DA Fixed Tenure Fund   Sr x Plan B - GO,RDAXBDG,NDAXBDG,30-OCT-2019
NIPPON INDIA MF- Nippon India DA Fixed Tenure Fund Sr x Plan B - DPO,RDAXBDD,NDAXBDD,30-OCT-2019
NIPPON INDIA MF- Nippon India DA Fixed Tenure Fund Sr x Plan B-DP-DPO,RDAXBDDD,NDAXBDDD,30-OCT-2019
NIPPON INDIA MF-Nippon India  Dual Adv. Fix. Ten. Fund Sr.x Plan C-GO,RDAXCDG,NDAXCDG,30-OCT-2019
NIPPON INDIA MF-Nippon India  Dual Adv. Fix.Ten. Fund Sr.x Plan C-DPO,RDAXCDD,NDAXCDD,30-OCT-2019
NIPPON INDIA MF-Nippon India DA Fixed Tenure Fund Sr x Plan B -DP - GO,RDAXBDDG,NDAXBDDG,30-OCT-2019
NIPPON INDIA MF-Nippon India Dual Adv.FixTen. Fund Sr.x Plan C-DP-GO,RDAXCDDG,NDAXCDDG,30-OCT-2019
NIPPON INDIA MF-Nippon India DualAdv. Fix.Ten. Fund Sr.x Plan C-DP-DPO,RDAXCDDD,NDAXCDDD,30-OCT-2019
NIPPON INDIA MUTUAL FUND  - NIPPON INDIA DA-FTF IV-P-C-D,RDAFTFIVCD,NDAFTFIVCD,30-OCT-2019
NIPPON INDIA MUTUAL FUND  - NIPPON INDIA DA-FTF IV-P-C-DD,RDAFTIVCDD,NDAFTIVCDD,30-OCT-2019
NIPPON INDIA MUTUAL FUND  - NIPPON INDIA DA-FTF IV-P-C-DG,RDAFTIVCDG,NDAFTIVCDG,30-OCT-2019
NIPPON INDIA MUTUAL FUND  - NIPPON INDIA DA-FTF IV-P-C-G,RDAFTFIVCG,NDAFTFIVCG,30-OCT-2019
NIPPON INDIA MUTUAL FUND  - NIPPON INDIA DAFTF II - P - G - DP,RDAFTIIPGD,NDAFTIIPGD,30-OCT-2019
NIPPON INDIA MUTUAL FUND  - NIPPON INDIA DAFTF II - P - G - Growth,RDAFTIIPGG,NDAFTIIPGG,30-OCT-2019
NIPPON INDIA MUTUAL FUND  - NIPPON INDIA Dual Ad FTF XI Plan A - GO,RDAXIADG,NDAXIADG,30-OCT-2019
NIPPON INDIA MUTUAL FUND  - NIPPON INDIA Dual Ad FTF XI Plan D-DPDPO,RDAXIDDDD,NDAXIDDDD,30-OCT-2019
NIPPON INDIA MUTUAL FUND  - NIPPON INDIA Dual Ad FTF XI Plan D-DPGO,RDAXIDDDG,NDAXIDDDG,30-OCT-2019
NIPPON INDIA MUTUAL FUND  - NIPPON INDIA Dual Ad FTF XI Plan D-GO,RDAXIDDG,NDAXIDDG,30-OCT-2019
NIPPON INDIA MUTUAL FUND  - NIPPON INDIA Dual Ad FTF XII Plan A-DPDPO,RDAXIIADDD,NDAXIIADDD,30-OCT-2019
NIPPON INDIA MUTUAL FUND - NIPPON INDIA Dual Ad FTF V- Plan H - DPDPO,RDAFDVHDR,NDAFDVHDR,30-OCT-2019
NIPPON INDIA MUTUAL FUND - NIPPON INDIA Dual Ad FTF V- Plan H - DPGO,RDAFDVHGR,NDAFDVHGR,30-OCT-2019
NIPPON INDIA MUTUAL FUND - NIPPON INDIA Dual Ad FTF V- Plan H - DPO,RDAFTVHDR,NDAFTVHDR,30-OCT-2019
NIPPON INDIA MUTUAL FUND - NIPPON INDIA Dual Ad FTF V- Plan H - GO,RDAFTVHGR,NDAFTVHGR,30-OCT-2019
NIPPON INDIA MUTUAL FUND - NIPPON INDIA Dual Ad FTF XI Plan A - DPDPO,RDAXIADDD,NDAXIADDD,30-OCT-2019
NIPPON INDIA MUTUAL FUND - NIPPON INDIA Dual Ad FTF XI Plan A - DPGO,RDAXIADDG,NDAXIADDG,30-OCT-2019
NIPPON INDIA MUTUAL FUND - NIPPON INDIA Dual Ad FTF XI Plan A - DPO,RDAXIADD,NDAXIADD,30-OCT-2019
NIPPON INDIA MUTUAL FUND - NIPPON INDIA Dual Ad Fixed Tenure Fund Seri,RDAXFDDD,NDAXFDDD,30-OCT-2019
NIPPON INDIA MUTUAL FUND -NIPPON INDIA Dual Ad Fixed Tenure Fund  Seri,RDAXFDD,NDAXFDD,30-OCT-2019
NIPPON INDIA MUTUAL FUND -NIPPON INDIA Dual Ad Fixed Tenure Fund XI (P,RDAXIEDG,NDAXIEDG,30-OCT-2019
NIPPON INDIA MUTUAL FUND- NIPPON INDIA Dual Ad FTF XI Plan D-DPO,RDAXIDDD,NDAXIDDD,30-OCT-2019
NIPPON INDIA MUTUAL FUND- NIPPON INDIA Dual Ad FTF XI Sr XI Plan B-DPO,RDAXIBDD,NDAXIBDD,30-OCT-2019
NIPPON INDIA MUTUAL FUND- NIPPON INDIA Dual Ad FTF XI SrXI Plan B-DPGO,RDAXIBDDG,NDAXIBDDG,30-OCT-2019
NIPPON INDIA MUTUAL FUND- NIPPON INDIA Dual Ad FTF XII Plan A-DPGO,RDAXIIADDG,NDAXIIADDG,30-OCT-2019
NIPPON INDIA MUTUAL FUND- NIPPON INDIA Dual Ad FTF XII Plan A-DPO,RDAXIIADD,NDAXIIADD,30-OCT-2019
NIPPON INDIA MUTUAL FUND- NIPPON INDIA Dual Ad FTF XII Plan A-GO,RDAXIIADG,NDAXIIADG,30-OCT-2019
NIPPON INDIA MUTUAL FUND- NIPPON INDIA Dual Ad Fixed Tenure Fund  Seri,RDAXFDG,NDAXFDG,30-OCT-2019
NIPPON INDIA MUTUAL FUND- NIPPON INDIA Dual Ad Fixed Tenure Fund  Seri,RDAXFDDG,NDAXFDDG,30-OCT-2019
NIPPON INDIA MUTUAL FUND- NIPPON INDIA Dual Ad Fixed Tenure Fund V- Pl,RDAFVGDD,NDAFVGDD,30-OCT-2019
NIPPON INDIA MUTUAL FUND- NIPPON INDIA Dual Ad Fixed Tenure Fund V- Pl,RDAFVGDG,NDAFVGDG,30-OCT-2019
NIPPON INDIA MUTUAL FUND- NIPPON INDIA Dual Ad Fixed Tenure Fund V- Pl,RDAFVGGO,NDAFVGGO,30-OCT-2019
NIPPON INDIA MUTUAL FUND- NIPPON INDIA Dual Ad Fixed Tenure Fund V- Pl,RDAFVGDO,NDAFVGDO,30-OCT-2019
NIPPON INDIA MUTUAL FUND- NIPPON INDIA Dual Ad Fixed Tenure Fund XI (P,RDAXIEDDD,NDAXIEDDD,30-OCT-2019
NIPPON INDIA MUTUAL FUND- NIPPON INDIA Dual Ad Fixed Tenure Fund XI (P,RDAXIEDD,NDAXIEDD,30-OCT-2019
NIPPON INDIA MUTUAL FUND- NIPPON INDIA Dual Ad Fixed Tenure Fund XI (P,RDAXIEDDG,NDAXIEDDG,30-OCT-2019
NIPPON INDIA MUTUAL FUND- NIPPON INDIA Int.Fund-QIF-SI-IP-DP-DPO,RMFINQIDP1,NMFINQIDP1,30-OCT-2019
NIPPON INDIA MUTUAL FUND-NIPPON INDIA Dual Ad FTF XI Sr XI Plan B - GO,RDAXIBDG,NDAXIBDG,30-OCT-2019
NIPPON INDIA MUTUAL FUND-NIPPON INDIA Dual Ad FTF XI SrXI Plan B-DPDPO,RDAXIBDDD,NDAXIBDDD,30-OCT-2019
NIPPON INDIA MUTUAL FUND-NIPPON INDIA Int. Fund-AIF-SI - RP- DP - RO,RMFINARDR1,NMFINARDR1,30-OCT-2019
NIPPON INDIA MUTUAL FUND-NIPPON INDIA Int. Fund-QIF-SI-RP-DP-DPO,RMFINQRDP1,NMFINQRDP1,30-OCT-2019
NLC India Limited,NEYVELILIG,NLCINDIA,04-AUG-2016
NXTDIGITAL LIMITED,HINDUJAVEN,NXTDIGITAL,11-NOV-2019
NXTDIGITAL LIMITED,HINDUJATMT,HINDUJAVEN,29-NOV-2007
Nagreeka Exports Limited,NAGREKAEXP,NAGREEKA,22-DEC-2005
Nahar Poly Films Limited,NAHARINVST,NAHARPOLY,15-JUN-2011
Nahar Poly Films Limited,NAHAREXPOT,NAHARINVST,01-NOV-2007
Nalwa Sons Investments Limited,JSTRIPS,NSIL,07-JUN-2005
Nandan Denim Limited,NANDANEXIM,NDL,21-NOV-2013
Nava Bharat Ventures Limited,NAVBARFERO,NBVENTURES,31-JUL-2006
Navneet Education Limited,NAVNETPUBL,NAVNETEDUL,19-SEP-2013
Net 4 India Limited,NET4INDIA,NET4,28-FEB-2011
Netvista Information Technology Limited,KRAFTIND,NETVISTAIT,09-AUG-2000
Neueon Towers Limited,SUJANATWR,NTL,17-FEB-2017
Next Mediaworks Limited,MID-DAY,NEXTMEDIA,15-JUN-2011
Nilkamal Limited,NILKAMPLST,NILKAMAL,05-JAN-2007
Nippon Life India Asset Management Limited,RNAM,NAM-INDIA,23-JAN-2020
Noesis Industries Limited,MVLIND,NOESISIND,04-JUN-2014
Noesis Industries Limited,MEDIA,MVLIND,20-FEB-2009
NuCent Finance Limited,PRESSMAN,NUCENTFIN,20-AUG-2001
OCL India Limited,ORISSACEM,OCL,15-SEP-2004
OM INFRA LIMITED,OMMETALS,OMINFRAL,10-FEB-2021
Oberoi Realty Limited,OBEROIREAL,OBEROIRLTY,10-DEC-2010
Olectra Greentech Limited,GOLDINFRA,OLECTRA,26-JUL-2018
Olectra Greentech Limited,GOLDTELE,GOLDINFRA,29-FEB-2008
Oracle Financial Services Software Limited,I-FLEX,OFSS,18-SEP-2008
Orchid Pharma Limited,ORCHIDCHEM,ORCHIDPHAR,21-DEC-2015
Orient Bell Limited,ORIENTCERA,ORIENTBELL,17-APR-2012
Oriental Trimex Limited,OTL,ORIENTALTL,17-DEC-2009
PAE Limited,PREMAUTOEL,PAEL,23-NOV-2005
PGIM India Dual Advantage Fund - Series 1 - DPG,DPRMDAD1,PGIMDAD1G,22-AUG-2019
PGIM India Dual Advantage Fund - Series 1 - DPQDPO,DPRMDAD3,PGIMDAD3D,22-AUG-2019
PGIM India Dual Advantage Fund - Series 1 - DPRDPO,DPRMDAD2,PGIMDAD2D,22-AUG-2019
PGIM India Dual Advantage Fund - Series 1 - RPADPO,DPRMDAAD,PGIMDAADD,22-AUG-2019
PGIM India Dual Advantage Fund - Series 1 - RPG,DPRMDAGP,PGIMDAGPG,22-AUG-2019
PGIM India Dual Advantage Fund - Series 1 - RPQDPO,DPRMDAQD,PGIMDAQDD,22-AUG-2019
PGIM India Dual Advantage Fund - Series 1 - RPRDPO,DPRMDADP,PGIMDADPD,22-AUG-2019
PGIM India Fixed Duration Fund - Series 31 - DPG,PRM1SD1,PGIM1SD1G,22-AUG-2019
PGIM India Fixed Duration Fund - Series 31 - RPDPO,PRM1SDP,PGIM1SDPD,22-AUG-2019
PGIM India Fixed Duration Fund - Series 31 - RPG,PRM1SGP,PGIM1SGPG,22-AUG-2019
PGIM India Fixed Duration Fund - Series AA - DPG,DPRMAAD1,PGIMAAD1G,22-AUG-2019
PGIM India Fixed Duration Fund - Series AA - DPQDPO,DPRMAAD3,PGIMAAD3D,22-AUG-2019
PGIM India Fixed Duration Fund - Series AA - RPADPO,DPRMAAAD,PGIMAAADD,22-AUG-2019
PGIM India Fixed Duration Fund - Series AA - RPG,DPRMAAGP,PGIMAAGPG,22-AUG-2019
PGIM India Fixed Duration Fund - Series AA - RPQDPO,DPRMAAQD,PGIMAAQDD,22-AUG-2019
PGIM India Fixed Duration Fund - Series AB - DPG,DPRMABD1,PGIMABD1G,22-AUG-2019
PGIM India Fixed Duration Fund - Series AB - RPADPO,DPRMABAD,PGIMABADD,22-AUG-2019
PGIM India Fixed Duration Fund - Series AB - RPG,DPRMABGP,PGIMABGPG,22-AUG-2019
PGIM India Fixed Duration Fund - Series AB - RPQDPO,DPRMABQD,PGIMABQDD,22-AUG-2019
PGIM India Fixed Duration Fund - Series AB - RPRDPO,DPRMABDP,PGIMABDPD,22-AUG-2019
PGIM India Fixed Duration Fund - Series AC - DPADPO,DPRMACD4,PGIMACD4D,22-AUG-2019
PGIM India Fixed Duration Fund - Series AC - DPG,DPRMACD1,PGIMACD1G,22-AUG-2019
PGIM India Fixed Duration Fund - Series AC - DPRDPO,DPRMACD2,PGIMACD2D,22-AUG-2019
PGIM India Fixed Duration Fund - Series AC - RPADPO,DPRMACAD,PGIMACADD,22-AUG-2019
PGIM India Fixed Duration Fund - Series AC - RPG,DPRMACGP,PGIMACGPG,22-AUG-2019
PGIM India Fixed Duration Fund - Series AC - RPQDPO,DPRMACQD,PGIMACQDD,22-AUG-2019
PGIM India Fixed Duration Fund - Series AC - RPRDPO,DPRMACDP,PGIMACDPD,22-AUG-2019
PGIM India Fixed Duration Fund - Series AE - DPADPO,DPRMAED4,PGIMAED4D,22-AUG-2019
PGIM India Fixed Duration Fund - Series AE - DPG,DPRMAED1,PGIMAED1G,22-AUG-2019
PGIM India Fixed Duration Fund - Series AE - RPADPO,DPRMAEAD,PGIMAEADD,22-AUG-2019
PGIM India Fixed Duration Fund - Series AE - RPG,DPRMAEGP,PGIMAEGPG,22-AUG-2019
PGIM India Fixed Duration Fund - Series AE - RPRDPO,DPRMAEDP,PGIMAEDPD,22-AUG-2019
PGIM India Fixed Duration Fund - Series AF - DPADPO,DPRMFAD4,PGIMFAD4D,22-AUG-2019
PGIM India Fixed Duration Fund - Series AF - DPG,DPRMFAD1,PGIMFAD1G,22-AUG-2019
PGIM India Fixed Duration Fund - Series AF - RPADPO,DPRMFAAD,PGIMFAADD,22-AUG-2019
PGIM India Fixed Duration Fund - Series AF - RPG,DPRMFAGP,PGIMFAGPG,22-AUG-2019
PGIM India Fixed Duration Fund - Series AF - RPQDPO,DPRMFAQD,PGIMFAQDD,22-AUG-2019
PGIM India Fixed Duration Fund - Series AG - DPG,DPRMAGD1,PGIMAGD1G,22-AUG-2019
PGIM India Fixed Duration Fund - Series AG - RPG,DPRMAGGP,PGIMAGGPG,22-AUG-2019
PGIM India Fixed Duration Fund - Series AH - DPADPO,DPRMAHD4,PGIMAHD4D,22-AUG-2019
PGIM India Fixed Duration Fund - Series AH - DPG,DPRMAHD1,PGIMAHD1G,22-AUG-2019
PGIM India Fixed Duration Fund - Series AH - DPQDPO,DPRMAHD3,PGIMAHD3D,22-AUG-2019
PGIM India Fixed Duration Fund - Series AH - RPADPO,DPRMAHAD,PGIMAHADD,22-AUG-2019
PGIM India Fixed Duration Fund - Series AH - RPG,DPRMAHGP,PGIMAHGPG,22-AUG-2019
PGIM India Fixed Duration Fund - Series AH - RPQDPO,DPRMAHQD,PGIMAHQDD,22-AUG-2019
PGIM India Fixed Duration Fund - Series AP - DPG,DPRMAPD1G,PGIMAPD1G,22-AUG-2019
PGIM India Fixed Duration Fund - Series AP - RPG,DPRMAPGPG,PGIMAPGPG,22-AUG-2019
PGIM India Fixed Duration Fund - Series AP - RPSDPO,DPRMAPDPD,PGIMAPDPD,22-AUG-2019
PGIM India Fixed Duration Fund - Series AQ - DPG,DPRMAQD1G,PGIMAQD1G,22-AUG-2019
PGIM India Fixed Duration Fund - Series AQ - DPSDPO,DPRMAQD2D,PGIMAQD2D,22-AUG-2019
PGIM India Fixed Duration Fund - Series AQ - RPG,DPRMAQGPG,PGIMAQGPG,22-AUG-2019
PGIM India Fixed Duration Fund - Series AR - DPG,DPRMARD1G,PGIMRAD1G,22-AUG-2019
PGIM India Fixed Duration Fund - Series AR - RPG,DPRMARGPG,PGIMRAGPG,22-AUG-2019
PGIM India Fixed Duration Fund - Series AR - RPQDPO,DPRMARQDD,PGIMRAQDD,22-AUG-2019
PGIM India Fixed Duration Fund - Series AR - RPSDPO,DPRMARDPD,PGIMRADPD,22-AUG-2019
PGIM India Fixed Duration Fund - Series AT - DPG,DPRMATD1G,PGIMATD1G,22-AUG-2019
PGIM India Fixed Duration Fund - Series AT - RPG,DPRMATGPG,PGIMATGPG,22-AUG-2019
PGIM India Fixed Duration Fund - Series AT - RPQDPO,DPRMATQDD,PGIMATQDD,22-AUG-2019
PGIM India Fixed Duration Fund - Series AT - RPSDPO,DPRMATDPD,PGIMATDPD,22-AUG-2019
PGIM India Fixed Duration Fund - Series AU - DPG,DPRMAUD1G,PGIMAUD1G,22-AUG-2019
PGIM India Fixed Duration Fund - Series AU - RPG,DPRMAUGPG,PGIMAUGPG,22-AUG-2019
PGIM India Fixed Duration Fund - Series AU - RPQDPO,DPRMAUQDD,PGIMAUQDD,22-AUG-2019
PGIM India Fixed Duration Fund - Series AU - RPSDPO,DPRMAUDPD,PGIMAUDPD,22-AUG-2019
PGIM India Fixed Duration Fund - Series AY - DPG,DPRMAYD1G,PGIMAYD1G,22-AUG-2019
PGIM India Fixed Duration Fund - Series AY - RPG,DPRMAYGPG,PGIMAYGPG,22-AUG-2019
PGIM India Fixed Duration Fund - Series AZ - DPG,DPRMAZD1G,PGIMAZD1G,22-AUG-2019
PGIM India Fixed Duration Fund - Series AZ - RPG,DPRMAZGPG,PGIMAZGPG,22-AUG-2019
PGIM India Fixed Duration Fund - Series AZ - RPSDPO,DPRMAZDPD,PGIMAZDPD,22-AUG-2019
PGIM India Fixed Duration Fund - Series BA - DPG,DPRMBAD1G,PGIMBAD1G,22-AUG-2019
PGIM India Fixed Duration Fund - Series BA - RPG,DPRMBAGPG,PGIMBAGPG,22-AUG-2019
PGIM India Fixed Duration Fund - Series BA - RPQDPO,DPRMBAQDD,PGIMBAQDD,22-AUG-2019
PGIM India Fixed Duration Fund - Series BA - RPSDPO,DPRMBADPD,PGIMBADPD,22-AUG-2019
PGIM India Fixed Duration Fund - Series BB - DPG,DPRMBBD1G,PGIMBBD1G,22-AUG-2019
PGIM India Fixed Duration Fund - Series BB - RPG,DPRMBBGPG,PGIMBBGPG,22-AUG-2019
PGIM India Fixed Duration Fund - Series BB - RPQDPO,DPRMBBQDD,PGIMBBQDD,22-AUG-2019
PGIM India Fixed Duration Fund - Series BB - RPSDPO,DPRMBBDPD,PGIMBBDPD,22-AUG-2019
PGIM India Fixed Duration Fund - Series BC - DPG,DPRMBCD1G,PGIMBCD1G,22-AUG-2019
PGIM India Fixed Duration Fund - Series BC - DPSDT,DPRMBCD2S,PGIMBCD2S,22-AUG-2019
PGIM India Fixed Duration Fund - Series BC - RPG,DPRMBCGPG,PGIMBCGPG,22-AUG-2019
PGIM India Fixed Duration Fund - Series BC - RPQDPO,DPRMBCQDD,PGIMBCQDD,22-AUG-2019
PGIM India Fixed Duration Fund - Series BC - RPSDPO,DPRMBCDPD,PGIMBCDPD,22-AUG-2019
PGIM India Fixed Duration Fund - Series BE - DPG,DPRMBED1G,PGIMBED1G,22-AUG-2019
PGIM India Fixed Duration Fund - Series BE - RPG,DPRMBEGPG,PGIMBEGPG,22-AUG-2019
PGIM India Fixed Duration Fund - Series BE - RPQDPO,DPRMBEQDD,PGIMBEQDD,22-AUG-2019
PGIM India Fixed Duration Fund - Series BE - RPSDPO,DPRMBEDPD,PGIMBEDPD,22-AUG-2019
PGIM India Large Cap Fund Series 2 - DPDPO,DWSLCFS2DD,PGIMC6D2D,22-AUG-2019
PGIM India Large Cap Fund Series 2 - DPG,DWSLCFS2DG,PGIMC6D1G,22-AUG-2019
PGIM India Large Cap Fund Series 2 - RPDPO,DWSLCFS2RD,PGIMC6DPD,22-AUG-2019
PGIM India Large Cap Fund Series 2 - RPG,DWSLCFS2RG,PGIMC6GPG,22-AUG-2019
PIL ITALICA LIFESTYLE LIMITED,PILIND,PILITA,03-SEP-2015
PSL Limited,PSLHOLD,PSL,19-MAY-2003
PVP Ventures Limited,SOFTSOLINT,PVP,23-JUN-2008
Paisalo Digital Limited,SEINV,PAISALO,24-JAN-2018
Palred Technologies Limited,FOURSOFT,PALRED,16-JAN-2014
Panasonic AVC Networks India Company Limited.,MTAL,PAVCI,12-MAR-2004
Parrys Sugar Industries Limited,GMRINDS,PARRYSUGAR,02-DEC-2010
Pearl Global Industries Limited,HOPFL,PGIL,02-JUL-2012
Peninsula Land Limited,MORAREALTY,PENINLAND,09-JUN-2006
Peninsula Land Limited,MORARJESPG,MORAREALTY,15-OCT-2004
Pharmacia Healthcare Limited,ABBOTTLAB,PHARMACIA,24-MAR-2003
Phoenix Lamps Limited,HALONIX,PHOENIXLL,30-OCT-2013
Phoenix Lamps Limited,PHOENIXLMP,HALONIX,09-MAR-2009
Piramal Enterprises Limited,PIRHEALTH,PEL,21-SEP-2012
